icao24,time,lat,lon,alt,vlat,vlon,vz,cross_section,callsign,manufacturerIcao,model
01020a,2022-06-27 23:00:10,47.39329709845074,8.32672119140625,11696.7,128.09655599999996,187.77206,0.32512,,MSR802,AIRBUS,A320-251N
01020a,2022-06-27 23:00:20,47.3822021484375,8.350639343261719,11711.94,127.58211199999991,187.25761600000013,0.65024,,MSR802,AIRBUS,A320-251N
01020a,2022-06-27 23:00:30,47.37048650192002,8.376018817608172,11711.94,127.58211200000002,187.77206000000004,0.0,,MSR802,AIRBUS,A320-251N
01020a,2022-06-27 23:00:40,47.35912775589248,8.400597205528845,11711.94,128.09655599999996,187.77206,-0.32512,,MSR802,AIRBUS,A320-251N
01020a,2022-06-27 23:00:50,47.347686767578125,8.425209045410156,11711.94,128.61100000000002,187.77205999999995,-0.65024,,MSR802,AIRBUS,A320-251N
01020a,2022-06-27 23:01:00,47.336334228515625,8.449516296386719,11704.320000000002,128.61100000000002,187.77205999999995,-0.32512,,MSR802,AIRBUS,A320-251N
01020a,2022-06-27 23:01:10,47.32475280761719,8.474372863769531,11704.320000000002,129.125444,187.77206,0.0,,MSR802,AIRBUS,A320-251N
01020a,2022-06-27 23:01:20,47.31294250488281,8.499710083007812,11704.320000000002,129.12544400000002,188.28650400000004,0.0,,MSR802,AIRBUS,A320-251N
01020a,2022-06-27 23:01:30,47.30103056309586,8.525249774639422,11704.320000000002,129.63988799999993,188.80094800000006,0.32512,,MSR802,AIRBUS,A320-251N
01020a,2022-06-27 23:01:40,47.28977966308594,8.549217224121094,11704.320000000002,130.154332,188.80094799999998,0.32512,,MSR802,AIRBUS,A320-251N
01020a,2022-06-27 23:01:50,47.27794065313824,8.574547400841345,11719.56,130.15433199999998,189.31539199999997,0.32512,,MSR802,AIRBUS,A320-251N
01020a,2022-06-27 23:02:00,47.26611638473252,8.599759615384615,11711.94,130.154332,189.829836,0.0,,MSR802,AIRBUS,A320-251N
01020a,2022-06-27 23:02:10,47.25462341308594,8.624473571777344,11719.56,130.154332,189.829836,0.0,,MSR802,AIRBUS,A320-251N
